strategy,stoploss_pct,target_pct,k_slots,train_calmar,test_calmar,train_cagr,test_cagr,train_max_dd,test_max_dd,train_winrate,test_winrate,test_expectancy_r,test_avg_win_pct,test_avg_loss_pct,test_num_trades,overfit_gap
pullback_buy,8.0,20.0,15,0.28190062738085003,2.5949092983518742,0.05496380674644996,0.20210627290562155,0.1949758227114316,0.07788567910022402,0.4591194968553459,0.5130111524163569,0.46181840231276083,0.14461274031922183,-0.0764750087502443,269,-2.313008670971024
breakout_52w,8.0,20.0,15,0.8912191089248974,1.5201500030760091,0.15815856885471624,0.32281534204839213,0.17746317069604506,0.21235755773784057,0.38341463414634147,0.42020497803806733,0.30056049346402147,0.1669216859307812,-0.07950479419005067,683,-0.6289308941511117
ema_stack,8.0,20.0,5,0.5046298257773525,0.6748326896155629,0.22158909179484554,0.2721450814379094,0.4391121580130556,0.4032778577945659,0.42105263157894735,0.4427083333333333,0.3105815914935111,0.15130166188386499,-0.07560848611951575,192,-0.17020286383821037
macd_adx,8.0,20.0,8,0.6049553648788893,0.5022860855548118,0.17961311788810086,0.15984922040203187,0.2969030912289851,0.3182433776270483,0.3996023856858847,0.4037854889589905,0.188975791546107,0.15384748378303637,-0.07883625317788032,317,0.10266927932407754
rsi_dip,5.0,20.0,15,0.3610919315936882,0.4470245201857525,0.05027071541122874,0.1015717542765795,0.13921860615760007,0.22721741132762313,0.32748538011695905,0.314410480349345,0.24659751765899668,0.15464174358543367,-0.05293416535640583,458,-0.08593258859206432
bollinger_revert,4.0,20.0,15,0.1920261336967248,0.37352346616528265,0.056090077909677793,0.0878853999262248,0.29209606437352575,0.2352874929880198,0.2844175491679274,0.2650375939849624,0.2357771120323848,0.15321120294062682,-0.04241801194521543,532,-0.18149733246855784
